month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
2017-10,ANG MO KIO,4 ROOM,131,ANG MO KIO AVE 3,10 TO 12,98,New Generation,1979,60 years 03 months,479000
2018-11,ANG MO KIO,4 ROOM,131,ANG MO KIO AVE 3,10 TO 12,98,New Generation,1979,59 years 02 months,409000
2019-02,ANG MO KIO,4 ROOM,131,ANG MO KIO AVE 3,10 TO 12,98,New Generation,1979,59 years,370000
2020-11,ANG MO KIO,4 ROOM,131,ANG MO KIO AVE 3,10 TO 12,98,New Generation,1979,57 years 03 months,390000
2021-08,ANG MO KIO,4 ROOM,131,ANG MO KIO AVE 3,10 TO 12,98,New Generation,1979,56 years 05 months,448000
2021-11,ANG MO KIO,4 ROOM,131,ANG MO KIO AVE 3,10 TO 12,98,New Generation,1979,56 years 03 months,470000
2022-02,ANG MO KIO,4 ROOM,131,ANG MO KIO AVE 3,10 TO 12,98,New Generation,1979,55 years 11 months,495000
2022-03,ANG MO KIO,4 ROOM,131,ANG MO KIO AVE 3,10 TO 12,98,New Generation,1979,55 years 10 months,480000
2022-11,ANG MO KIO,4 ROOM,131,ANG MO KIO AVE 3,10 TO 12,98,New Generation,1979,55 years 03 months,512000
2023-11,ANG MO KIO,4 ROOM,131,ANG MO KIO AVE 3,10 TO 12,98,New Generation,1979,54 years 02 months,540000
