month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
2018-06,TAMPINES,4 ROOM,891A,TAMPINES AVE 8,10 TO 12,100,Model A,1997,77 years 10 months,438000
2019-03,TAMPINES,4 ROOM,878,TAMPINES AVE 8,10 TO 12,104,Model A,1988,68 years 08 months,400000
2019-06,TAMPINES,4 ROOM,869A,TAMPINES AVE 8,10 TO 12,92,Model A,2015,95 years 03 months,490000
2019-07,TAMPINES,4 ROOM,869B,TAMPINES AVE 8,10 TO 12,92,Model A,2015,95 years,500000
2019-07,TAMPINES,4 ROOM,869A,TAMPINES AVE 8,10 TO 12,92,Model A,2015,94 years 11 months,500000
2019-07,TAMPINES,4 ROOM,868A,TAMPINES AVE 8,10 TO 12,92,Model A,2015,94 years 11 months,520000
2019-08,TAMPINES,4 ROOM,869A,TAMPINES AVE 8,10 TO 12,92,Model A,2015,94 years 10 months,485000
2019-11,TAMPINES,4 ROOM,869B,TAMPINES AVE 8,10 TO 12,92,Model A,2015,94 years 08 months,512888
2020-01,TAMPINES,4 ROOM,869A,TAMPINES AVE 8,10 TO 12,92,Model A,2015,94 years 05 months,510000
2020-10,TAMPINES,4 ROOM,869A,TAMPINES AVE 8,10 TO 12,92,Model A,2015,93 years 09 months,525000
2020-11,TAMPINES,4 ROOM,869B,TAMPINES AVE 8,10 TO 12,92,Model A,2015,93 years 08 months,530000
2021-01,TAMPINES,4 ROOM,879,TAMPINES AVE 8,10 TO 12,103,Model A,1988,66 years 07 months,435000
2021-02,TAMPINES,4 ROOM,868B,TAMPINES AVE 8,10 TO 12,92,Model A,2015,93 years 04 months,520000
2021-03,TAMPINES,4 ROOM,868B,TAMPINES AVE 8,10 TO 12,92,Model A,2015,93 years 04 months,526888
2021-03,TAMPINES,4 ROOM,868B,TAMPINES AVE 8,10 TO 12,92,Model A,2015,93 years 04 months,555000
2021-04,TAMPINES,4 ROOM,878,TAMPINES AVE 8,10 TO 12,104,Model A,1988,66 years 08 months,458888
2021-04,TAMPINES,4 ROOM,868B,TAMPINES AVE 8,10 TO 12,92,Model A,2015,93 years 02 months,515000
