month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
2017-01,TAMPINES,4 ROOM,458,TAMPINES ST 42,10 TO 12,84,Simplified,1988,70 years 01 month,370000
2017-01,TAMPINES,4 ROOM,489A,TAMPINES ST 45,10 TO 12,104,Model A,1989,71 years 05 months,394000
2017-01,TAMPINES,4 ROOM,489B,TAMPINES ST 45,10 TO 12,107,Model A,1993,75 years 08 months,408000
2017-01,TAMPINES,4 ROOM,811,TAMPINES AVE 4,10 TO 12,91,New Generation,1985,67 years 02 months,418000
2017-01,TAMPINES,4 ROOM,419,TAMPINES ST 41,10 TO 12,84,Simplified,1985,68 years,423000
2017-01,TAMPINES,4 ROOM,295,TAMPINES ST 22,10 TO 12,104,Model A,1984,66 years 02 months,430000
2017-01,TAMPINES,4 ROOM,419,TAMPINES ST 41,10 TO 12,89,Simplified,1985,67 years 11 months,430000
2017-01,TAMPINES,4 ROOM,726,TAMPINES ST 71,10 TO 12,103,Model A,1997,79 years 07 months,440288
2017-01,TAMPINES,4 ROOM,732,TAMPINES ST 71,10 TO 12,103,Model A,1997,79 years 05 months,450000
2017-01,TAMPINES,4 ROOM,888,TAMPINES ST 81,10 TO 12,104,Model A,1988,70 years 09 months,450000
2017-02,TAMPINES,4 ROOM,347,TAMPINES ST 33,10 TO 12,105,Model A,1996,78 years 04 months,385000
2017-02,TAMPINES,4 ROOM,348,TAMPINES ST 33,10 TO 12,106,Model A,1996,78 years 03 months,388000
2017-02,TAMPINES,4 ROOM,842D,TAMPINES ST 82,10 TO 12,106,Model A,1995,77 years,493000
2017-03,TAMPINES,4 ROOM,855,TAMPINES ST 83,10 TO 12,84,Simplified,1987,69 years 02 months,395000
2017-03,TAMPINES,4 ROOM,725,TAMPINES ST 71,10 TO 12,103,Model A,1997,79 years 05 months,433000
2017-03,TAMPINES,4 ROOM,881,TAMPINES ST 84,10 TO 12,104,Model A,1988,70 years 04 months,435000
2017-03,TAMPINES,4 ROOM,486B,TAMPINES AVE 9,10 TO 12,107,Model A,1993,75 years 06 months,438000
2017-03,TAMPINES,4 ROOM,437,TAMPINES ST 43,10 TO 12,104,Model A,1986,68 years 05 months,438000
2017-03,TAMPINES,4 ROOM,741,TAMPINES ST 72,10 TO 12,100,Model A,1997,79 years 10 months,444000
2017-03,TAMPINES,4 ROOM,898A,TAMPINES ST 81,10 TO 12,104,Model A,1988,70 years 10 months,451000
2017-03,TAMPINES,4 ROOM,101,SIMEI ST 1,10 TO 12,104,Model A,1988,70 years 06 months,495000
2017-04,TAMPINES,4 ROOM,874,TAMPINES ST 84,10 TO 12,104,Model A,1989,70 years 11 months,390000
2017-04,TAMPINES,4 ROOM,419,TAMPINES ST 41,10 TO 12,89,Simplified,1985,67 years 08 months,439800
2017-04,TAMPINES,4 ROOM,133,SIMEI ST 1,10 TO 12,84,Simplified,1988,70 years 04 months,445888
2017-04,TAMPINES,4 ROOM,732,TAMPINES ST 71,10 TO 12,103,Model A,1997,79 years 02 months,446000
2017-04,TAMPINES,4 ROOM,101,TAMPINES ST 11,10 TO 12,107,Model A,1982,64 years,448000
2017-04,TAMPINES,4 ROOM,254,SIMEI ST 1,10 TO 12,99,Model A,1996,78 years 05 months,530000
2017-04,TAMPINES,4 ROOM,168A,SIMEI LANE,10 TO 12,94,DBSS,2011,92 years 11 months,615000
2017-05,TAMPINES,4 ROOM,811,TAMPINES AVE 4,10 TO 12,91,New Generation,1985,66 years 10 months,410000
2017-05,TAMPINES,4 ROOM,285,TAMPINES ST 22,10 TO 12,103,Model A,1984,66 years 03 months,450000
2017-05,TAMPINES,4 ROOM,731,TAMPINES ST 71,10 TO 12,103,Model A,1997,79 years 01 month,453000
2017-05,TAMPINES,4 ROOM,418,TAMPINES ST 41,10 TO 12,104,Model A,1985,67 years 01 month,460000
2017-05,TAMPINES,4 ROOM,145,TAMPINES ST 12,10 TO 12,103,Model A,1984,66 years 07 months,490000
2017-05,TAMPINES,4 ROOM,248,TAMPINES ST 21,10 TO 12,91,New Generation,1984,66 years 07 months,500000
2017-05,TAMPINES,4 ROOM,237,TAMPINES ST 21,10 TO 12,104,Model A,1984,66 years 05 months,533000
2017-06,TAMPINES,4 ROOM,409,TAMPINES ST 41,10 TO 12,84,Simplified,1986,68 years 05 months,420000
