month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
2017-01,TOA PAYOH,4 ROOM,144,LOR 2 TOA PAYOH,10 TO 12,91,Model A,2002,84 years 08 months,680000
2017-01,TOA PAYOH,4 ROOM,145,LOR 2 TOA PAYOH,10 TO 12,91,Model A,2006,88 years,686000
2017-02,TOA PAYOH,4 ROOM,15,JOO SENG RD,10 TO 12,103,Model A,1984,66 years 01 month,460000
2017-02,TOA PAYOH,4 ROOM,79B,TOA PAYOH CTRL,10 TO 12,92,Model A,2009,91 years 02 months,650000
2017-03,TOA PAYOH,4 ROOM,81B,LOR 4 TOA PAYOH,10 TO 12,105,Model A,1997,79 years,680000
2017-04,TOA PAYOH,4 ROOM,222,LOR 8 TOA PAYOH,10 TO 12,82,Improved,1976,57 years 11 months,375000
2017-04,TOA PAYOH,4 ROOM,228,LOR 8 TOA PAYOH,10 TO 12,82,Improved,1976,58 years 05 months,376000
2017-05,TOA PAYOH,4 ROOM,15,JOO SENG RD,10 TO 12,103,Model A,1984,65 years 10 months,455000
2017-05,TOA PAYOH,4 ROOM,142,LOR 2 TOA PAYOH,10 TO 12,85,Model A,2001,82 years 08 months,610000
2017-05,TOA PAYOH,4 ROOM,79A,TOA PAYOH CTRL,10 TO 12,76,Model A,2009,90 years 11 months,665000
2017-05,TOA PAYOH,4 ROOM,146,LOR 2 TOA PAYOH,10 TO 12,86,Model A,2006,87 years 08 months,706000
2017-06,TOA PAYOH,4 ROOM,214,LOR 8 TOA PAYOH,10 TO 12,82,Improved,1975,57 years 02 months,365000
2017-06,TOA PAYOH,4 ROOM,179,TOA PAYOH CTRL,10 TO 12,84,Improved,1974,56 years 02 months,450000
2017-06,TOA PAYOH,4 ROOM,259,KIM KEAT AVE,10 TO 12,103,Model A,1989,70 years 08 months,498000
2017-06,TOA PAYOH,4 ROOM,14,LOR 7 TOA PAYOH,10 TO 12,104,Model A,1998,80 years 01 month,595000
2017-07,TOA PAYOH,4 ROOM,226,LOR 8 TOA PAYOH,10 TO 12,82,Improved,1976,57 years 10 months,355000
2017-07,TOA PAYOH,4 ROOM,227,LOR 8 TOA PAYOH,10 TO 12,82,Improved,1976,57 years 10 months,355000
2017-07,TOA PAYOH,4 ROOM,202,TOA PAYOH NTH,10 TO 12,87,Improved,1973,55 years,435800
2017-07,TOA PAYOH,4 ROOM,10B,LOR 7 TOA PAYOH,10 TO 12,104,Model A,1998,80 years,590000
2017-07,TOA PAYOH,4 ROOM,79E,TOA PAYOH CTRL,10 TO 12,76,Model A,2009,90 years 09 months,595000
2017-07,TOA PAYOH,4 ROOM,143,LOR 2 TOA PAYOH,10 TO 12,91,Model A,2002,84 years 02 months,680000
